timestamp_us,lat_synth,lon_synth,v_north_mps,v_east_mps,gps_heading_deg
71209623,43.48202533333333,-80.5424495,0.0,0.0,258
71906408,43.48201566666667,-80.54248733333333,0.0,0.0,245
73209425,43.481980166666666,-80.54254083333333,0.0,0.0,212
73810374,43.48195716666667,-80.54255216666667,0.0,0.0,193
73906739,43.48195316666666,-80.54255316666666,0.0,0.0,191
74208712,43.48194083333333,-80.542554,0.0,0.0,181
74306157,43.48193666666667,-80.54255366666666,0.0,0.0,177
74906127,43.48191283333333,-80.5425455,0.0,0.0,158
75209711,43.481902,-80.54253766666666,0.0,0.0,149
75908431,43.48188116666667,-80.5425115,0.0,0.0,129
76209137,43.48187433333333,-80.54249783333333,0.0,0.0,122
76306726,43.481872333333335,-80.54249316666667,0.0,0.0,120
76528361,43.4818685,-80.54248333333334,0.0,0.0,118
77206941,43.481856,-80.54244833333334,0.0,0.0,117
77608726,43.48184783333333,-80.542429,0.0,0.0,122
78209415,43.48183183333333,-80.5424035,0.0,0.0,137
78606980,43.48181866666667,-80.542391,0.0,0.0,150
79808092,43.48177333333334,-80.54238466666666,0.0,0.0,193
80207890,43.481759833333335,-80.542393,0.0,0.0,208
80808247,43.4817435,-80.54241333333333,0.0,0.0,229
80908114,43.48174133333333,-80.54241733333333,0.0,0.0,232
81117255,43.48173766666667,-80.54242583333334,0.0,0.0,239
81207743,43.481736166666664,-80.54243033333333,0.0,0.0,243
81810176,43.481730666666664,-80.54245816666666,0.0,0.0,260
82110206,43.48172983333333,-80.54247233333334,0.0,0.0,266
82206208,43.481729666666666,-80.54247683333334,0.0,0.0,268
82809408,43.481730666666664,-80.54250383333333,0.0,0.0,271
82907869,43.481731,-80.542508,0.0,0.0,273
83206648,43.481731333333336,-80.54252083333333,0.0,0.0,272
84108734,43.48172983333333,-80.5425595,0.0,0.0,262
84206204,43.481729333333334,-80.542564,0.0,0.0,262
84809366,43.481724666666665,-80.5425905,0.0,0.0,255
85206018,43.48172016666667,-80.54260816666667,0.0,0.0,248
85808269,43.4817105,-80.5426335,0.0,0.0,238
86808331,43.4816865,-80.54266883333334,0.0,0.0,220
87108284,43.481678,-80.54267766666666,0.0,0.0,216
87806954,43.48165766666666,-80.54269416666666,0.0,0.0,207
88106923,43.4816495,-80.54269916666667,0.0,0.0,203
88808382,43.48163366666667,-80.54270816666667,0.0,0.0,201
89108606,43.4816285,-80.542711,0.0,0.0,201
89207410,43.481627,-80.54271183333333,0.0,0.0,201
89808794,43.481620166666666,-80.5427155,0.0,0.0,199
90108029,43.4816185,-80.5427165,0.0,0.0,199
90206877,43.481618,-80.54271683333333,0.0,0.0,199
90808031,43.481617,-80.54271766666666,0.0,0.0,198
91108960,43.481617,-80.54271766666666,0.0,0.0,198
91207615,43.481617,-80.54271766666666,0.0,0.0,198
91808653,43.481617166666666,-80.54271783333333,0.0,0.0,198
92108940,43.48161733333333,-80.54271783333333,0.0,0.0,198
92810588,43.4816175,-80.542718,0.0,0.0,198
93207923,43.481617666666665,-80.542718,0.0,0.0,198
93806595,43.48161783333333,-80.54271816666666,0.0,0.0,198
94109281,43.481618,-80.54271816666666,0.0,0.0,198
94207548,43.481618,-80.54271816666666,0.0,0.0,198
94708383,43.48161833333333,-80.54271816666666,0.0,0.0,198
94808326,43.48161833333333,-80.54271816666666,0.0,0.0,198
95112562,43.4816185,-80.54271833333334,0.0,0.0,198
96109875,43.481618833333336,-80.54271833333334,0.0,0.0,198
96207674,43.481619,-80.54271833333334,0.0,0.0,198
96808421,43.481619333333335,-80.54271833333334,0.0,0.0,198
97110361,43.4816195,-80.54271833333334,0.0,0.0,198
97806880,43.48161983333333,-80.54271833333334,0.0,0.0,198
98806402,43.4816205,-80.5427185,0.0,0.0,198
99108536,43.481620666666664,-80.5427185,0.0,0.0,198
99809361,43.481621,-80.5427185,0.0,0.0,198
100108028,43.48162116666666,-80.5427185,0.0,0.0,198
100806648,43.48162166666667,-80.54271866666667,0.0,0.0,198
101108790,43.481621833333335,-80.5427185,0.0,0.0,198
